matrix_size,peak_performance,achieved_performance
1,166.4,0.033554
6,166.4,1.725657
11,166.4,4.466095
16,166.4,4.979672
21,166.4,5.284823
26,166.4,6.22102
31,166.4,5.300213
36,166.4,7.039189
41,166.4,5.978813
46,166.4,6.371545
51,166.4,6.112372
56,166.4,6.462706
61,166.4,6.676208
66,166.4,7.182997
71,166.4,7.578884
76,166.4,6.183188
81,166.4,7.541318
86,166.4,7.65403
91,166.4,7.817241
96,166.4,8.163792
101,166.4,8.016316
106,166.4,8.343535
111,166.4,8.217549
116,166.4,6.89471
121,166.4,8.396955
126,166.4,8.229706
131,166.4,8.303073
136,166.4,8.322457
141,166.4,8.322611
146,166.4,8.488535
151,166.4,8.420036
156,166.4,8.533628
161,166.4,8.474979
166,166.4,8.252393
171,166.4,8.35529
176,166.4,8.559869
181,166.4,8.418195
186,166.4,7.484572
191,166.4,7.63982
196,166.4,7.695543
200,166.4,7.662622
220,166.4,7.705179
240,166.4,7.774244
260,166.4,7.860539
280,166.4,7.870292
300,166.4,7.861358
320,166.4,8.094358
340,166.4,8.056166
360,166.4,8.116341
380,166.4,8.076985
400,166.4,8.217058
420,166.4,8.211972
440,166.4,8.284973
460,166.4,8.289999
480,166.4,8.320191
500,166.4,8.370457
600,166.4,8.412853
700,166.4,8.49946
800,166.4,8.52367
900,166.4,8.423267
1000,166.4,8.401494
1100,166.4,8.226781
1200,166.4,7.7614
1300,166.4,6.298944
1400,166.4,5.303151
1500,166.4,4.436857
1600,166.4,4.011031
1700,166.4,3.754126
1800,166.4,3.600118
1900,166.4,3.5327
2000,166.4,3.512586